"","AccidentArea","Sex","MaritalStatus","Age","Fault","VehicleCategory","FraudFound_P","Deductible","AgentType","AddressChange_Claim","BasePolicy"
"6543","Urban","Female","Married",45,"Third Party","Sedan","0",400,"External","no change","Collision"
"6846","Rural","Male","Married",36,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"6722","Urban","Female","Single",37,"Third Party","Sedan","0",400,"External","no change","All Perils"
"5165","Urban","Male","Married",41,"Third Party","Sedan","0",400,"External","no change","Collision"
"10427","Urban","Male","Single",32,"Policy Holder","Sport","0",400,"External","no change","Liability"
"10811","Urban","Male","Married",36,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"4879","Urban","Female","Married",57,"Policy Holder","Sport","0",400,"External","no change","Liability"
"14441","Urban","Male","Single",21,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"2167","Rural","Male","Married",73,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"4591","Urban","Male","Married",36,"Policy Holder","Sport","0",500,"External","2 to 3 years","Liability"
"174","Urban","Male","Single",28,"Policy Holder","Sport","0",400,"External","no change","Liability"
"14933","Urban","Male","Married",47,"Third Party","Sedan","0",400,"External","no change","Collision"
"7182","Urban","Male","Married",46,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"2558","Urban","Male","Single",34,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"7312","Urban","Male","Married",26,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"1836","Rural","Male","Single",48,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"11086","Urban","Male","Married",30,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"13965","Urban","Male","Married",41,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"10109","Urban","Male","Married",37,"Policy Holder","Sport","0",400,"External","no change","Collision"
"13018","Urban","Male","Single",28,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"3403","Urban","Male","Married",47,"Policy Holder","Sport","0",400,"External","4 to 8 years","Liability"
"13124","Urban","Male","Married",79,"Policy Holder","Sport","0",400,"External","no change","Liability"
"6288","Urban","Male","Married",62,"Third Party","Sport","0",400,"External","no change","Liability"
"11093","Urban","Male","Married",59,"Third Party","Sedan","0",400,"External","no change","All Perils"
"13505","Rural","Female","Single",29,"Third Party","Sedan","0",400,"External","no change","Collision"
"15124","Rural","Male","Single",27,"Third Party","Sedan","0",400,"External","no change","All Perils"
"6744","Urban","Female","Single",29,"Policy Holder","Sport","0",400,"External","no change","Liability"
"14697","Urban","Male","Single",21,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"3263","Urban","Male","Single",34,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"14180","Urban","Male","Married",68,"Policy Holder","Sport","0",400,"External","no change","Liability"
"14460","Urban","Male","Married",62,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"6436","Urban","Male","Married",61,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"3673","Urban","Male","Married",55,"Third Party","Sedan","0",500,"External","2 to 3 years","All Perils"
"3633","Urban","Female","Married",38,"Third Party","Sport","0",400,"External","no change","Liability"
"11120","Urban","Female","Married",32,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"13617","Rural","Male","Single",28,"Third Party","Sedan","0",400,"External","no change","All Perils"
"6462","Urban","Male","Single",34,"Third Party","Sport","0",400,"External","1 year","Collision"
"14168","Urban","Male","Married",55,"Policy Holder","Sedan","0",700,"External","no change","Collision"
"4770","Urban","Male","Married",34,"Third Party","Sedan","0",400,"External","no change","Collision"
"4828","Urban","Female","Married",63,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"7629","Urban","Male","Married",63,"Third Party","Sedan","0",400,"External","no change","Collision"
"371","Urban","Male","Married",26,"Policy Holder","Sport","0",400,"External","no change","Liability"
"2304","Urban","Male","Single",23,"Policy Holder","Sport","0",400,"Internal","no change","Liability"
"7510","Urban","Male","Married",57,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"295","Urban","Male","Single",0,"Policy Holder","Sport","0",400,"External","4 to 8 years","Liability"
"14589","Urban","Male","Married",26,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"8045","Urban","Male","Single",34,"Policy Holder","Sport","0",400,"External","no change","Liability"
"10017","Rural","Male","Single",26,"Third Party","Sedan","0",400,"External","no change","All Perils"
"8798","Urban","Male","Single",46,"Third Party","Sedan","0",400,"External","no change","Collision"
"8577","Urban","Male","Married",37,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"3445","Urban","Male","Single",32,"Third Party","Sedan","0",400,"External","4 to 8 years","Collision"
"5427","Urban","Male","Single",35,"Third Party","Sedan","0",400,"External","no change","Collision"
"12993","Urban","Male","Married",30,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"13826","Urban","Female","Married",35,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"7351","Urban","Male","Single",32,"Policy Holder","Sport","0",400,"External","4 to 8 years","Liability"
"12933","Urban","Male","Married",61,"Policy Holder","Sport","0",400,"External","no change","Liability"
"9021","Urban","Male","Married",33,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"1542","Urban","Female","Married",42,"Policy Holder","Sport","0",400,"External","no change","Liability"
"5986","Rural","Male","Married",63,"Third Party","Sedan","0",400,"External","4 to 8 years","All Perils"
"8598","Urban","Female","Single",58,"Policy Holder","Sport","0",400,"External","no change","Liability"
"11228","Urban","Male","Married",32,"Third Party","Sport","0",400,"External","no change","Collision"
"10175","Urban","Male","Married",49,"Third Party","Sedan","0",400,"External","no change","All Perils"
"12717","Urban","Male","Married",41,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"13473","Urban","Male","Married",39,"Policy Holder","Sport","0",400,"External","no change","Liability"
"10250","Urban","Female","Married",76,"Policy Holder","Sport","0",400,"External","no change","Liability"
"14490","Urban","Male","Single",33,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"11738","Urban","Male","Single",32,"Policy Holder","Sport","0",400,"Internal","no change","Liability"
"6598","Urban","Male","Married",39,"Policy Holder","Sport","0",400,"External","no change","Liability"
"3529","Rural","Female","Single",41,"Policy Holder","Sedan","0",400,"External","4 to 8 years","Collision"
"5642","Urban","Male","Married",46,"Policy Holder","Sport","0",400,"External","no change","Liability"
"5297","Urban","Male","Single",0,"Policy Holder","Sport","0",400,"External","no change","Liability"
"13897","Urban","Female","Married",44,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"7746","Urban","Male","Married",38,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"1518","Urban","Female","Single",26,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"2375","Urban","Male","Married",42,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"1920","Urban","Male","Married",26,"Third Party","Sedan","0",400,"External","no change","Collision"
"14782","Urban","Male","Single",50,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"2654","Rural","Male","Single",37,"Policy Holder","Sport","0",400,"External","no change","Liability"
"12382","Urban","Male","Married",42,"Third Party","Sport","0",400,"External","no change","Liability"
"11046","Urban","Male","Single",0,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"6165","Urban","Male","Married",43,"Third Party","Sedan","0",400,"External","no change","All Perils"
"5322","Urban","Male","Single",30,"Policy Holder","Sedan","0",400,"Internal","no change","Collision"
"11788","Urban","Male","Married",30,"Policy Holder","Sport","0",400,"External","no change","Liability"
"15134","Urban","Female","Married",34,"Third Party","Sport","0",400,"External","no change","Liability"
"12637","Urban","Male","Single",45,"Third Party","Sport","0",400,"External","no change","Liability"
"11442","Urban","Male","Married",55,"Third Party","Sport","0",400,"External","no change","Liability"
"14441.1","Urban","Male","Single",21,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"278","Urban","Male","Single",0,"Policy Holder","Sport","0",400,"External","no change","Liability"
"541","Urban","Female","Single",32,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"11556","Urban","Male","Married",72,"Third Party","Sedan","0",400,"External","no change","All Perils"
"7308","Urban","Male","Single",18,"Third Party","Sedan","0",400,"External","no change","Collision"
